activity_id,sister_id,month,clients_contacted,new_users,follow_up_completed,referrals,stockout_days,community_sessions,travel_km,reported_work_days
1,LS0001,8/1/2025,13,7,4,0,7,12,26.2,20
2,LS0001,7/1/2025,27,18,10,0,3,10,13.9,17
3,LS0001,12/1/2025,17,9,5,2,11,3,51.6,17
4,LS0001,6/1/2025,31,23,19,2,3,3,20.6,17
5,LS0002,8/1/2025,15,11,6,1,5,6,122.2,25
6,LS0002,11/1/2025,20,13,10,2,13,7,54.5,21
7,LS0002,10/1/2025,52,33,27,1,1,12,71.3,24
8,LS0002,5/1/2025,22,9,5,2,15,6,35.2,25
9,LS0002,1/1/2025,43,31,21,5,2,6,50.4,15
10,LS0003,8/1/2025,46,23,13,2,7,12,53.4,22
11,LS0003,12/1/2025,45,26,19,2,2,11,29.9,21
12,LS0003,2/1/2025,21,11,9,1,0,0,5.5,22
13,LS0003,10/1/2025,17,12,8,1,10,8,29.4,12
14,LS0004,12/1/2025,34,14,9,2,0,10,20.2,23
15,LS0004,5/1/2025,14,10,7,1,12,5,37.5,18
16,LS0004,7/1/2025,19,8,5,2,1,8,15.2,10
17,LS0004,1/1/2025,31,17,14,2,4,3,50.3,22
18,LS0005,5/1/2025,47,25,15,4,3,9,77.5,22
19,LS0005,9/1/2025,26,18,10,3,13,7,63.8,14
20,LS0005,3/1/2025,44,32,25,5,7,7,28.1,12
21,LS0005,6/1/2025,8,4,3,0,0,0,87.7,26
22,LS0006,10/1/2025,23,10,8,2,13,6,26.5,13
23,LS0007,11/1/2025,45,27,15,1,7,9,210.4,12
24,LS0007,4/1/2025,35,17,10,5,0,7,144.3,10
25,LS0007,3/1/2025,23,12,8,3,2,7,168.1,26
26,LS0007,7/1/2025,34,23,17,5,0,1,199.1,16
27,LS0007,1/1/2025,11,6,3,1,0,1,171.1,11
28,LS0007,6/1/2025,51,31,19,4,2,2,212.2,20
29,LS0008,12/1/2025,29,13,11,1,2,8,89.5,19
30,LS0008,2/1/2025,13,8,5,0,3,1,171.4,18
31,LS0008,11/1/2025,39,28,23,3,6,12,179.3,17
32,LS0008,9/1/2025,45,28,15,4,2,12,177.6,20
33,LS0008,7/1/2025,13,6,3,1,10,0,94.5,18
34,LS0009,12/1/2025,17,9,8,2,5,2,32.4,22
35,LS0009,2/1/2025,10,5,3,1,12,9,42.1,25
36,LS0009,8/1/2025,13,7,5,1,5,1,23.4,20
37,LS0009,9/1/2025,47,25,19,5,3,11,36,20
38,LS0009,4/1/2025,10,4,3,1,4,1,41.6,16
39,LS0009,10/1/2025,23,11,8,0,10,0,14.1,16
40,LS0010,9/1/2025,20,14,12,2,4,8,110,22
41,LS0010,12/1/2025,17,7,4,2,1,11,94.4,19
42,LS0010,3/1/2025,13,8,6,1,9,7,64.5,19
43,LS0010,1/1/2025,37,23,15,3,5,12,66.4,15
44,LS0010,4/1/2025,40,28,21,2,0,10,84.2,22
45,LS0010,10/1/2025,27,14,8,0,8,6,64.5,16
46,LS0011,11/1/2025,17,10,8,1,0,2,27.1,20
47,LS0011,6/1/2025,25,17,12,1,15,0,29.9,16
48,LS0012,6/1/2025,32,15,10,4,0,6,8.5,24
49,LS0012,10/1/2025,20,9,7,2,3,0,30.4,14
50,LS0012,3/1/2025,30,13,8,3,1,9,29,21
51,LS0012,7/1/2025,50,21,17,1,1,7,46,13
52,LS0013,11/1/2025,41,18,12,4,1,8,46.1,22
53,LS0013,9/1/2025,48,27,14,6,3,11,8.3,25
54,LS0013,3/1/2025,43,32,19,2,3,10,21.3,22
55,LS0014,12/1/2025,38,25,15,2,4,10,159.6,15
56,LS0014,9/1/2025,34,16,12,3,3,5,187.8,10
57,LS0014,5/1/2025,26,18,15,3,0,12,74.1,24
58,LS0014,3/1/2025,32,15,12,3,12,4,201.8,19
59,LS0015,8/1/2025,41,20,11,1,2,10,134.6,18
60,LS0015,11/1/2025,36,24,14,3,2,12,155.4,24
61,LS0015,5/1/2025,14,10,6,1,0,11,172.2,19
62,LS0015,12/1/2025,25,14,10,3,2,9,135.9,15
63,LS0016,12/1/2025,10,6,4,0,14,8,41.1,12
64,LS0016,2/1/2025,25,15,9,1,2,0,20.9,15
65,LS0016,6/1/2025,6,4,3,1,6,3,37.2,10
66,LS0017,5/1/2025,14,9,7,2,5,7,101.2,12
67,LS0017,6/1/2025,41,23,18,1,2,11,162.8,16
68,LS0018,10/1/2025,27,19,13,0,2,10,46.2,12
69,LS0018,9/1/2025,14,7,6,0,15,4,35.9,19
70,LS0018,2/1/2025,33,17,11,0,2,2,16.6,25
71,LS0018,4/1/2025,16,7,4,1,15,3,32.2,26
72,LS0019,4/1/2025,23,11,6,3,1,8,26.6,11
73,LS0020,3/1/2025,25,17,10,1,0,5,118.6,16
74,LS0020,10/1/2025,20,9,6,2,3,2,188.8,26
75,LS0020,9/1/2025,5,2,1,0,8,0,133.6,26
76,LS0020,2/1/2025,57,39,27,1,5,1,93.4,19
77,LS0020,8/1/2025,30,18,11,3,4,10,158.8,14
78,LS0020,11/1/2025,26,16,9,4,5,10,50.1,22
