cost_id,month,state,staff_cost,training_cost,transport_cost,contraceptive_cost,outreach_cost,warehouse_cost,admin_cost,other_cost
1,2025-01-01,Lagos,2669501,308226,283473,727677,172262,175221,201931,81501
2,2025-01-01,Lagos,1872597,396196,293651,587611,234357,172500,195694,68687
3,2025-01-01,Kano,1631191,243716,190146,571529,181113,128083,164030,50322
4,2025-01-01,Kano,1582547,252646,243996,509205,188538,127138,119563,69087
5,2025-01-01,Kaduna,1593106,183182,984682,518936,163052,125788,141795,45625
6,2025-01-01,Kaduna,1778195,210827,166561,442459,182876,92130,119512,58353
7,2025-01-01,Oyo,1729210,169380,185154,355485,147728,91454,99877,53227
8,2025-01-01,Oyo,1784474,114178,174469,481259,130702,102795,118659,34117
9,2025-01-01,Rivers,1431150,173150,168615,373467,95027,65897,101506,41668
10,2025-01-01,RIVERS,1486287,215935,137108,373136,101506,76486,112313,37304
11,2025-02-01,Lagos,2745588,323395,222978,498187,158437,118956,185387,83449
12,2025-02-01,Lagos,2142533,335705,310141,606059,220178,181737,187700,62625
13,2025-02-01,Kano,1735264,264620,249600,543300,180739,116216,138633,65826
14,2025-02-01,Kano,1709111,299455,215599,496199,167927,108851,134843,54093
15,2025-02-01,kaduna,2000596,279933,195774,468894,98411,133516,125301,59283
16,2025-02-01,Kaduna,2147637,249122,227927,511972,134209,115903,180582,60741
17,2025-02-01,Oyo,1349014,205843,138650,467171,156370,111837,107425,47923
18,2025-02-01,Oyo,1539021,201581,154803,453116,135111,72566,121919,55707
19,2025-02-01,Rivers,1279313,157677,131530,300174,122164,83868,123947,36998
20,2025-02-01,Rivers,1372212,170474,126027,357913,125095,76185,102085,42398
21,2025-03-01,Lagos,2472233,290743,251962,609671,204073,216527,191526,89921
22,2025-03-01,Lagos,1790204,396668,284327,604661,307631,227297,184730,96325
23,2025-03-01,Kano,1948499,199869,168313,543660,173367,131599,150589,53952
24,2025-03-01,Kano,1530207,273601,208351,353506,192230,137937,134519,65486
25,2025-03-01,Kaduna,1773449,247709,173220,577807,160527,132447,135962,54803
26,2025-03-01,KADUNA,1626013,221494,195659,440951,211540,115171,135214,61521
27,2025-03-01,Oyo,1575150,180148,206608,488351,119485,95110,153598,60496
28,2025-03-01,Oyo,1320731,201685,133206,515067,138392,77182,118718,61068
29,2025-03-01,Rivers State,1061874,193628,149507,365028,95919,83135,101619,50758
30,2025-03-01,Rivers,1217688,151083,155614,396782,101228,70270,72235,38079
31,2025-04-01,LAGOS,2743036,334546,258864,720564,269092,139707,189054,97281
32,2025-04-01,lagos,2565444,250750,267440,371557,281248,140280,178462,72752
33,2025-04-01,Kano,1358672,276922,,530131,166634,132080,132179,56662
34,2025-04-01,Kano,2023930,278726,239717,333985,175429,102273,138130,75301
35,2025-04-01,Kaduna State,1472692,225024,210557,474789,139926,117752,153575,57803
36,2025-04-01,Kaduna,1101053,180347,194025,444743,112255,113291,144246,55712
37,2025-04-01,Oyo,1430029,200841,177689,278863,158599,131070,135375,49558
38,2025-04-01,Oyo,1486011,201276,199571,424907,130590,110399,118319,48350
39,2025-04-01,Rivers,1138547,122988,189405,283487,113506,93043,85951,40511
40,2025-04-01,Rivers,1085088,174423,149310,219187,102115,103062,116417,41068
41,2025-05-01,Lagos,2530592,308455,275157,534238,231284,147159,236676,80127
42,2025-05-01,Lagos,2336995,343219,356580,928001,283678,167531,204046,108786
43,2025-05-01,Kano,1925692,248025,182910,476860,174548,121409,150536,71665
44,2025-05-01,Kano,1843578,198645,170591,454446,152165,112192,162449,64182
45,2025-05-01,Kaduna,1384639,245442,194785,451682,162232,92537,160626,43652
46,2025-05-01,Kaduna,1700938,173845,225745,477195,134423,109460,123954,57428
47,2025-05-01,Oyo,1835797,235432,158285,442602,113652,116645,115331,54969
48,2025-05-01,Oyo,1136271,197808,168946,332824,127346,75819,144456,51412
49,2025-05-01,Rivers State,1192874,166807,119829,286543,116776,69745,120212,45594
50,2025-05-01,Rivers,1348877,171451,107757,278782,105081,100120,84309,48359
51,2025-06-01,Lagos,2747784,301892,233275,656496,275896,163145,208877,83264
52,2025-06-01,Lagos,2187376,309624,232648,903750,219977,174867,173472,79983
53,2025-06-01,Kano,1467746,184081,198438,469081,201812,108765,142060,73298
54,2025-06-01,Kano,1906030,179732,250492,566667,132805,155574,155025,50820
55,2025-06-01,Kaduna,2165859,256895,199757,433043,156265,94470,139723,70097
56,2025-06-01,Kaduna,1766896,204032,178010,453221,210616,114773,162087,65072
57,2025-06-01,Oyo,1948172,219273,185315,372961,136143,101281,132007,51814
58,2025-06-01,Oyo,1893709,181562,148463,362749,168014,99770,108631,50958
59,2025-06-01,Rivers,1363900,160673,131411,320553,123620,76115,116867,54156
60,2025-06-01,Rivers,968145,146813,94042,321616,115224,95253,110489,31959
61,2025-07-01,Lagos,2239033,329301,318281,805915,271260,186442,191627,82893
62,2025-07-01,Lagos,2450570,345459,331444,599083,200796,185253,178429,96110
63,2025-07-01,Kano,1885760,176228,183035,565365,149748,115437,114099,55705
64,2025-07-01,Kano,2009122,335932,163464,430188,131377,133212,144560,58853
65,2025-07-01,Kaduna,1935454,241382,152652,540796,140756,115076,128676,61590
66,2025-07-01,KADUNA,1966318,174507,249165,434726,141731,105976,182227,54793
67,2025-07-01,Oyo,1721776,228713,153822,402638,100420,76599,110174,51430
68,2025-07-01,Oyo,1431956,222309,201429,424489,159543,90611,109560,48735
69,2025-07-01,Rivers,1426345,174546,133169,295688,134109,108290,92626,44728
70,2025-07-01,Rivers,1281561,166509,124713,401041,109970,84185,96665,31974
71,2025-08-01,Lagos,2718004,304063,262529,645478,189549,157093,261831,69342
72,2025-08-01,Lagos,2486830,315805,295569,728100,233474,156530,192996,75917
73,2025-08-01,Kano,1657011,218135,185890,425566,133141,152029,120139,58232
74,2025-08-01,Kano,1523279,264018,216371,498990,134140,125729,146548,44003
75,2025-08-01,Kaduna State,1673036,235205,126055,430317,184458,93126,159858,50830
76,2025-08-01,KADUNA,2096114,188477,224342,302635,156889,136618,147674,66234
77,2025-08-01,Oyo,1230608,179688,181868,404555,135997,117456,104440,58421
78,2025-08-01,Oyo State,1780351,179363,192641,345705,123979,87536,109002,47126
79,2025-08-01,Rivers,1425330,197128,147260,292839,110432,71457,85221,43293
80,2025-08-01,Rivers,1053005,162845,141704,265104,135550,112929,119398,37413
81,2025-09-01,Lagos State,3287298,370323,191545,695071,200800,145463,202128,81578
82,2025-09-01,Lagos,2451876,320907,283884,577854,213849,155497,211598,77461
83,2025-09-01,Kano,1719699,175596,231376,473461,188865,92940,114527,74887
84,2025-09-01,Kano,1531837,233872,215309,452829,155068,113519,156439,58132
85,2025-09-01,kaduna,1239502,267525,201908,494400,157585,121171,144945,55758
86,2025-09-01,Kaduna State,1860796,178269,241079,375363,155779,142490,165496,47561
87,2025-09-01,Oyo,1436060,250219,155861,372844,147734,129877,120566,51247
88,2025-09-01,Oyo,1538512,212717,114702,510681,169473,111896,113071,40897
89,2025-09-01,Rivers,843829,121993,123963,450383,128758,76831,74315,34179
90,2025-09-01,Rivers,1206638,159700,109946,389562,104662,87687,86210,38426
91,2025-10-01,Lagos,2323667,360415,291763,749395,188301,170843,214806,76849
92,2025-10-01,Lagos State,2426419,271622,260372,590326,296418,168637,172607,72668
93,2025-10-01,KANO,1636292,191660,211935,448684,170048,109489,119969,51349
94,2025-10-01,Kano,2361568,236562,157182,477738,152666,138868,119828,69535
95,2025-10-01,Kaduna,1772947,228170,178833,556550,151764,127794,156971,51319
96,2025-10-01,Kaduna,1948886,197804,212066,425791,196644,85174,133688,60001
97,2025-10-01,Oyo,1585521,185379,165284,449061,142454,100351,118665,56444
98,2025-10-01,Oyo,1265012,192498,199836,355902,148837,105993,154471,52343
99,2025-10-01,Rivers,1067212,142085,157490,327352,118368,92630,110617,47380
100,2025-10-01,Rivers,1542437,165460,146497,370937,126159,82759,90525,41872
101,2025-11-01,Lagos,2749295,261091,304784,442522,223011,171886,197917,70290
102,2025-11-01,Lagos,2228964,335327,264306,540243,208051,160896,207657,62423
103,2025-11-01,Kano,1779909,195907,182653,577399,167929,120462,140553,79762
104,2025-11-01,Kano,2161349,303691,205409,401781,150432,131914,145936,57372
105,2025-11-01,Kaduna,1647091,249001,221552,301304,123772,111485,150966,51726
106,2025-11-01,Kaduna,2054919,205946,188314,486974,180487,119456,152581,49742
107,2025-11-01,Oyo,1355932,276656,179212,376377,135892,72030,122380,55241
108,2025-11-01,Oyo,1542626,176647,151512,478753,156466,117157,117388,44535
109,2025-11-01,Rivers,1047336,218193,115611,289034,151145,84947,100971,45036
110,2025-11-01,RIVERS,1588977,153643,117800,383672,115074,68891,114291,37320
111,2025-12-01,Lagos,2810148,297404,323847,685176,181915,161865,198604,66702
112,2025-12-01,Lagos,3078549,247048,310462,480595,207928,147673,190601,65520
113,2025-12-01,Kano,1399877,238172,173895,446798,126409,117538,167926,56866
114,2025-12-01,Kano,1592922,227648,154294,365057,170662,78811,171881,71945
115,2025-12-01,Kaduna,1998046,201378,211730,527733,158691,117704,136066,49796
116,2025-12-01,Kaduna,1615045,178340,145357,517126,193118,115335,149870,53749
117,2025-12-01,Oyo,2143091,183881,155803,397201,152771,102556,151125,41685
118,2025-12-01,Oyo,1379046,182002,171324,423776,158233,112377,122497,50250
119,2025-12-01,Rivers,1154496,178239,,278426,119013,89494,124848,38247
120,2025-12-01,Rivers,1369872,176159,143278,410257,105209,78164,106946,52092
