sister_id,state,lga,age,experience_months,training_type,training_date,months_active, monthly_stipend ,transport_zone,status
LS0001,Oyo,Ogbomosho North,44,4,HYBRID,05/11/2025,8," ?34,500.00 ",Urban,Active
LS0002,Kaduna,Sabon Gari,30,10,Hybrid,12/08/2024,9," ?34,500.00 ",Semi-urban,Active
LS0003,Kaduna,Kaduna South,35,26,Hybrid,27/02/2024,6," ?38,000.00 ",Urban,Active
LS0004,Kano,Tarauni,27,20,In-person,27/03/2025,7," ?27,500.00 ",Urban,Active
LS0005,Oyo,Egbeda,34,48,Hybrid,26/03/2025,10," ?32,000.00 ",Semi-urban,Active
LS0006,Kano,Ungogo,43,14,Hybrid,16/02/2025,11," ?39,000.00 ",Urban,Inactive
LS0007,Oyo,Ogbomosho North,43,36,In-person,29/11/2024,9," ?36,500.00 ",Rural,Active
LS0008,Kano,Fagge,36,39,Hybrid,25/09/2025,11," ?40,000.00 ",Rural,Active
LS0009,Lagos,Kosofe,24,29,Hybrid,16/10/2025,6," ?45,000.00 ",Urban,Active
LS0010,Oyo,Egbeda,28,47,Hybrid,29/12/2024,11," ?33,500.00 ",Semi-urban,Active
LS0011,Oyo,Ogbomosho North,36,11,In-person,17/01/2024,6," ?29,500.00 ",Urban,Inactive
LS0012,Oyo,Ibadan North,44,42,Hybrid,01/06/2024,12," ?32,000.00 ",Urban,Active
LS0013,Oyo,Ogbomosho North,30,39,In-person,06/06/2025,6," ?38,500.00 ",Urban,Active
LS0014,Kaduna,Chikun,23,7,In-person,28/08/2025,10," ?36,000.00 ",Rural,Active
LS0015,Kaduna,Chikun,33,27,Hybrid,30/08/2025,6," ?41,000.00 ",Rural,Active
LS0016,Lagos,Oshodi-Isolo,30,33,In-person,24/04/2025,12," ?31,500.00 ",Urban,Inactive
LS0017,Kano,Gwale,29,41,Online,10/04/2024,7," ?41,500.00 ",Rural,Inactive
LS0018,Lagos,Surulere,42,22,Online,07/03/2025,8," ?35,000.00 ",Urban,Active
LS0019,Kano,Nassarawa,43,19,Online,12/12/2024,11," ?38,000.00 ",Urban,Inactive
LS0020,Lagos,Ikeja,42,14,Hybrid,02/02/2025,11," ?25,500.00 ",Rural,Active
