supply_id,month,state,facility,method,opening_stock,received,distributed,closing_stock,stockout_days,delivery_delay_days
1,1/1/2025,Lagos,FAC-LAG-1,Condom,619,307,223,703,2,1
2,2/1/2025,Lagos,FAC-LAG-1,Condom,703,325,263,765,2,2
3,3/1/2025,Lagos,FAC-LAG-1,Condom,765,288,286,767,3,2
4,4/1/2025,Lagos,FAC-LAG-1,Condom,767,347,325,789,3,5
5,5/1/2025,lagos,FAC-LAG-1,Condom,789,324,218,895,18,10
6,6/1/2025,Lagos,FAC-LAG-1,Condom,895,324,306,913,2,8
7,7/1/2025,Lagos,FAC-LAG-1,Condom,913,301,214,1000,1,2
8,8/1/2025,Lagos,FAC-LAG-1,Condom,1000,106,131,975,10,4
9,9/1/2025,Lagos,FAC-LAG-1,Condom,975,320,96,1199,0,1
10,10/1/2025,Lagos,FAC-LAG-1,Condom,1199,215,88,1326,5,5
11,11/1/2025,Lagos,FAC-LAG-1,Condom,1326,317,194,1449,12,13
12,12/1/2025,Lagos,FAC-LAG-1,Condom,1449,148,268,1329,3,1
13,1/1/2025,Lagos,FAC-LAG-2,Other,747,121,195,673,3,0
14,2/1/2025,Lagos,FAC-LAG-2,Other,673,387,210,850,7,4
15,3/1/2025,Lagos,FAC-LAG-2,Other,850,392,292,950,6,5
16,4/1/2025,Lagos,FAC-LAG-2,Other,950,157,215,892,40,2
17,5/1/2025,Lagos,FAC-LAG-2,Other,892,116,161,847,4,4
18,6/1/2025,Lagos,FAC-LAG-2,Other,847,265,182,930,0,0
19,7/1/2025,Lagos,FAC-LAG-2,Other,930,291,179,1042,3,1
20,8/1/2025,LAGOS,FAC-LAG-2,Other,1042,84,91,1035,11,11
21,9/1/2025,lagos,FAC-LAG-2,Other,1035,228,111,1152,1,0
22,10/1/2025,Lagos,FAC-LAG-2,Other,1152,197,96,1253,3,1
23,11/1/2025,Lagos,FAC-LAG-2,Other,1253,396,257,1392,1,0
24,12/1/2025,Lagos,FAC-LAG-2,Other,1392,334,143,1583,1,2
25,1/1/2025,Lagos,FAC-LAG-3,Injectable,391,302,117,576,10,10
26,2/1/2025,Lagos,FAC-LAG-3,Injectable,576,307,258,625,1,1
27,3/1/2025,Lagos,FAC-LAG-3,Injectable,625,154,144,635,11,9
28,4/1/2025,Lagos,FAC-LAG-3,Injectable,635,380,212,803,3,2
29,5/1/2025,Lagos,FAC-LAG-3,Injectable,803,377,322,858,1,0
30,6/1/2025,Lagos,FAC-LAG-3,Injectable,858,311,321,848,2,1
31,7/1/2025,Lagos,FAC-LAG-3,Injectable,848,238,165,921,1,0
32,8/1/2025,Lagos,FAC-LAG-3,Injectable,921,204,103,1022,19,14
33,9/1/2025,LAGOS,FAC-LAG-3,Injectable,1022,149,178,993,9,3
34,10/1/2025,Lagos,FAC-LAG-3,Injectable,993,148,320,821,0,1
35,11/1/2025,Lagos,FAC-LAG-3,Injectable,821,223,152,892,1,1
36,12/1/2025,Lagos,FAC-LAG-3,Injectable,892,238,229,901,10,15
37,1/1/2025,KANO,FAC-KAN-1,IUD,502,147,223,426,3,1
